
Reading File:  ./chipir2023/DDR3_IDLE_testexperiment_June_29_2023__10_00_28_UART.log
Number of lines in uart file:  3140
3141
Printing Dynamic Errors



[ 6 / 29 /2023 at  10 : 5 : 47 ]

Error group count:  1

Error New:    0x0212698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0212a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0212e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0213298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0213698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0213a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0213e98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0214298:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0214698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0214a98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0214e98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0215298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0215698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0215a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0215e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0216298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0216698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0216a98:  a5a5a5a5 a5a5a5a5 a5a5adad adadadad
Error New:    0x0216e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0217298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0217698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0217a98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0218298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0218698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0218a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0218e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0222698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0222a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0222e98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0223298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0223698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0223a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0223e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0224298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0224698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0224a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0224e98:  a5a5a5a5 a5a1a5a5 ada5adad adadadad
Error New:    0x0225298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0225698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0225a98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0225e98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0226298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0226698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0226a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0226e98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0227298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0227698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0227a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0227e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0228298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0228698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0228a98:  a5a5a5a5 a5a5a5a5 a5a5adad adadadad
Error New:    0x0228e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0229298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0229698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0229a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0229e98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022a298:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022a698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022aa98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022ae98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022b298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022b698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022ba98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022be98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022c298:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022c698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022ca98:  a5a5a5a5 a5a5a5a5 a5a5adad adadadad
Error New:    0x022ce98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022d298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022d698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022da98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022de98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022e298:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022e698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022ea98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022ee98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022f298:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x022f698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022fa98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x022fe98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0230298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0230698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0230a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0230e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0231298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0231698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0231a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0231e98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0232298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0232698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0232a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0232e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0233298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0233698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0233a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0233e98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0234298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0234698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0234a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0234e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0235298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0235698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0235a98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0235e98:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0236298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0236698:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0236a98:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
Error New:    0x0236e98:  a5a5a5a5 a5a1a5a5 a5adadad adadadad
Error New:    0x0237298:  a5a5a5a5 a5a1a5a5 a5a5adad adadadad
Error New:    0x0237698:  a5a5a5a5 a5a1a5a5 a5a5adad ada5adad
