{'./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log': './lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log'}
Reading File:  ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log
Number of lines in log file:  3755
Number of lines in uart file:  30822
Test contains the following single or groups of events:
1 memory, 0 timeout, 0 other

Mem event group 0, File: ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log
[2022-12-19 05:19:35] error addr: 0x512560e8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512560ec, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512560f0, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512560f4, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512560f8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512560fc, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256100, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256104, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256108, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125610c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256110, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256114, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256118, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125611c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256120, content: 0x00000000, expected: 0xa5a5a5a5
